temperature,humidity,label,cluster
23,64,jagung,0
27,72,jagung,0
24,72,jagung,0
20,58,jagung,0
19,63,jagung,0
22,58,jagung,0
26,67,jagung,0
26,67,jagung,0
21,63,jagung,0
25,67,jagung,0
25,69,jagung,0
23,59,jagung,0
19,66,jagung,0
26,61,jagung,0
19,56,jagung,0
25,71,jagung,0
26,66,jagung,0
24,61,jagung,0
19,63,jagung,0
19,72,jagung,0
19,67,jagung,0
19,59,jagung,0
26,68,jagung,0
26,69,jagung,0
24,58,jagung,0
22,72,jagung,0
24,64,jagung,0
26,64,jagung,0
22,64,jagung,0
19,56,jagung,0
23,68,jagung,0
24,62,jagung,0
25,66,jagung,0
20,63,jagung,0
22,60,jagung,0
25,71,jagung,0
22,61,jagung,0
26,58,jagung,0
23,73,jagung,0
21,70,jagung,0
25,69,jagung,0
21,57,jagung,0
26,62,jagung,0
20,66,jagung,0
21,66,jagung,0
25,57,jagung,0
21,64,jagung,0
19,65,jagung,0
24,62,jagung,0
20,62,jagung,0
22,62,jagung,0
23,57,jagung,0
20,70,jagung,0
23,66,jagung,0
24,60,jagung,0
19,70,jagung,0
24,62,jagung,0
27,73,jagung,0
20,70,jagung,0
21,60,jagung,0
20,69,jagung,0
23,60,jagung,0
26,62,jagung,0
20,69,jagung,0
22,61,jagung,0
21,60,jagung,0
25,56,jagung,0
25,66,jagung,0
23,66,jagung,0
19,61,jagung,0
24,73,jagung,0
23,72,jagung,0
26,70,jagung,0
27,67,jagung,0
19,62,jagung,0
26,56,jagung,0
24,60,jagung,0
26,66,jagung,0
26,73,jagung,0
26,64,jagung,0
26,68,jagung,0
19,72,jagung,0
21,64,jagung,0
19,73,jagung,0
27,72,jagung,0
19,62,jagung,0
27,60,jagung,0
19,73,jagung,0
24,64,jagung,0
19,63,jagung,0
20,60,jagung,0
26,71,jagung,0
37,58,kacang polong,0
37,63,kacang polong,0
30,60,kacang polong,0
28,44,kacang polong,0
22,56,kacang polong,0
31,43,kacang polong,0
32,46,kacang polong,0
34,39,kacang polong,0
30,64,kacang polong,0
31,68,kacang polong,0
36,69,kacang polong,0
34,41,kacang polong,0
29,50,kacang polong,0
32,57,kacang polong,0
29,58,kacang polong,0
25,41,kacang polong,0
20,56,kacang polong,0
29,51,kacang polong,0
20,48,kacang polong,0
25,51,kacang polong,0
20,46,kacang polong,0
29,50,kacang polong,0
25,47,kacang polong,0
27,42,kacang polong,0
32,58,kacang polong,0
34,68,kacang polong,0
24,47,kacang polong,0
35,40,kacang polong,0
35,48,kacang polong,0
29,53,kacang polong,0
32,48,kacang polong,0
21,47,kacang polong,0
31,53,kacang polong,0
28,67,kacang polong,0
20,57,kacang polong,0
32,57,kacang polong,0
34,46,kacang polong,0
25,46,kacang polong,0
27,50,kacang polong,0
24,52,kacang polong,0
35,39,kacang polong,0
29,45,kacang polong,0
25,58,kacang polong,0
34,49,kacang polong,0
21,61,kacang polong,0
20,60,kacang polong,0
29,63,kacang polong,0
37,44,kacang polong,0
24,48,kacang polong,0
26,41,kacang polong,0
32,67,kacang polong,0
19,62,kacang polong,0
30,64,kacang polong,0
37,57,kacang polong,0
37,57,kacang polong,0
30,68,kacang polong,0
25,60,kacang polong,0
30,46,kacang polong,0
35,55,kacang polong,0
22,57,kacang polong,0
23,61,kacang polong,0
32,49,kacang polong,0
26,41,kacang polong,0
22,70,kacang polong,0
20,48,kacang polong,0
20,51,kacang polong,0
23,63,kacang polong,0
37,59,kacang polong,0
30,67,kacang polong,0
30,45,kacang polong,0
30,43,kacang polong,0
20,67,kacang polong,0
21,49,kacang polong,0
28,65,kacang panjang,0
28,52,kacang panjang,0
29,60,kacang panjang,0
30,62,kacang panjang,0
28,55,kacang panjang,0
32,55,kacang panjang,0
28,56,kacang panjang,0
29,54,kacang panjang,0
28,59,kacang panjang,0
29,56,kacang panjang,0
32,46,kacang panjang,0
26,46,kacang panjang,0
32,57,kacang panjang,0
25,59,kacang panjang,0
32,52,kacang panjang,0
26,51,kacang panjang,0
31,48,kacang panjang,0
29,44,kacang panjang,0
26,45,kacang panjang,0
32,44,kacang panjang,0
27,56,kacang panjang,0
29,62,kacang panjang,0
28,50,kacang panjang,0
26,56,kacang panjang,0
28,52,kacang panjang,0
26,50,kacang panjang,0
32,47,kacang panjang,0
31,59,kacang panjang,0
26,54,kacang panjang,0
28,44,kacang panjang,0
25,57,kacang panjang,0
31,46,kacang panjang,0
29,61,kacang panjang,0
